id,vendor_id,pickup_date,pickup_time,dropoff_date,dropoff_time,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id1444884,2,1/6/2016,18:15,1/6/2016,18:31,1,-73.99656677,40.73197556,-73.97901154,40.74990082,N,0:15:52
id3167292,2,1/5/2016,9:53,1/5/2016,9:57,1,-73.98117828,40.72090149,-73.97738647,40.72608566,N,0:03:24
id3190007,2,1/7/2016,15:26,1/7/2016,15:38,1,-73.97827148,40.74565506,-73.96525574,40.75829315,N,0:12:14
id3211119,1,1/2/2016,22:54,1/2/2016,23:05,1,-73.97712708,40.75587845,-73.93854523,40.8098526,N,0:11:06
id0407071,1,1/6/2016,5:58,1/6/2016,6:28,3,-73.78223419,40.64457321,-73.80843353,40.73604584,N,0:29:37
id3791668,2,1/6/2016,17:25,1/6/2016,17:27,5,-73.962677,40.77566147,-73.95944214,40.78028870000001,N,0:02:34
id2975591,1,1/6/2016,12:26,1/6/2016,12:39,1,-73.99375916,40.73271942,-73.9912796,40.74226379,N,0:12:48
id0645865,2,1/1/2016,3:49,1/1/2016,3:52,2,-73.95314789,40.79161835,-73.96820831,40.79722977,N,0:03:05
id3131928,2,1/5/2016,20:50,1/5/2016,20:55,2,-73.97845459,40.7413063,-73.97649384,40.73245621,N,0:04:59
id3806962,2,1/1/2016,15:48,1/1/2016,15:53,6,-74.00536346,40.72233963,-73.99469757,40.74013901,N,0:04:40
id3129705,2,1/6/2016,0:20,1/6/2016,0:24,1,-73.97271729,40.74938965,-73.96711731,40.7566185,N,0:03:55
id1696276,1,1/5/2016,18:59,1/5/2016,19:10,3,-73.97223663,40.759552,-73.95347595,40.77701187,N,0:10:42
id1201454,2,1/3/2016,12:20,1/3/2016,12:23,1,-73.97238922,40.74526215,-73.96340942,40.75749588,N,0:02:59
id1887303,2,1/5/2016,21:25,1/5/2016,21:35,1,-73.99743652,40.7193985,-73.98135376,40.72480011,N,0:09:38
id3602048,1,1/2/2016,9:05,1/2/2016,9:21,1,-74.00737762,40.70790482,-73.96336365,40.77511215,N,0:16:11
id2987313,2,1/1/2016,9:47,1/1/2016,9:49,1,-73.99407196,40.75128174,-73.99429321,40.75852585,N,0:02:46
id1527619,1,1/1/2016,3:20,1/1/2016,3:43,1,-73.99637604,40.74883652,-73.98712921,40.69756699,N,0:22:07
id1942347,1,1/4/2016,18:17,1/4/2016,18:22,1,-73.96690369,40.76727295,-73.9719162,40.75954819,N,0:04:46
id0702699,2,1/4/2016,21:09,1/4/2016,21:19,1,-73.97846222,40.78305817,-73.95265198,40.79991913,N,0:10:16
id1649629,1,1/2/2016,11:52,1/2/2016,11:58,1,-73.9792099,40.76535416,-73.97327423,40.75759125,N,0:06:38
id1597082,1,1/7/2016,12:06,1/7/2016,12:28,2,-73.97680664,40.7903862,-73.95603179999998,40.77363205,N,0:21:15
id0132701,1,1/3/2016,14:18,1/3/2016,14:29,1,-73.96644592,40.76444244,-73.98923492,40.7362442,N,0:11:10
id1324382,1,1/7/2016,18:12,1/7/2016,18:55,1,-73.78234863,40.64480209,-73.95465088,40.78914642,N,0:43:05
id3442406,2,1/2/2016,12:41,1/2/2016,12:44,1,-73.99327087,40.74308014,-73.99559021,40.74924088,N,0:03:36
id3116485,2,1/4/2016,12:31,1/4/2016,12:47,2,-74.00150299,40.75138092,-73.95876312,40.78345871,N,0:16:13
id1880340,1,1/2/2016,21:37,1/2/2016,21:44,1,-73.98867035,40.75656128,-73.98477173,40.76417923,N,0:06:19
id2684070,2,1/6/2016,14:14,1/6/2016,14:25,1,-74.00805664,40.72246933,-73.99311066,40.74858093,N,0:11:06
id1273973,2,1/7/2016,19:56,1/7/2016,20:11,1,-73.99349976,40.74180984,-73.99954224,40.72858047,N,0:14:16
id3920129,2,1/1/2016,18:04,1/1/2016,18:09,5,-73.98108673,40.76433563,-73.98088837,40.77159119,N,0:05:11
id3334552,1,1/7/2016,7:25,1/7/2016,8:03,2,-73.9809494,40.76428604,-73.86184692,40.76848602,N,0:37:31
id3518358,2,1/2/2016,11:20,1/2/2016,11:25,6,-73.99324036,40.74401093,-74.00092316,40.72917175,N,0:04:37
id1170003,2,1/7/2016,15:35,1/7/2016,15:42,1,-73.9693985,40.75370026,-73.98226929,40.74872589,N,0:07:22
id3187576,2,1/6/2016,7:29,1/6/2016,7:49,1,-73.96682739,40.80426025,-73.97238922,40.7599411,N,0:20:19
id1293377,1,1/2/2016,14:36,1/2/2016,14:51,2,-73.95989990000002,40.77357483,-73.99046326,40.75098419,N,0:15:07
id1649909,2,1/6/2016,12:48,1/6/2016,13:04,1,-73.98648834,40.7779007,-73.96443939,40.77167511,N,0:16:27
id3315494,2,1/4/2016,15:09,1/4/2016,15:28,3,-73.97270966,40.79091644,-73.96469116,40.76716995,N,0:19:24
id0544521,1,1/2/2016,20:45,1/2/2016,20:56,2,-73.94542694,40.77410507,-73.96302032,40.76932144,N,0:11:04
id1261506,2,1/4/2016,8:45,1/4/2016,8:57,2,-73.98686981,40.73684692,-73.97209167,40.75964355,N,0:11:44
id2947100,2,1/5/2016,18:11,1/5/2016,18:22,1,-74.01138306,40.70328522,-73.97724152,40.73404694,N,0:10:25
id3514507,2,1/4/2016,13:32,1/4/2016,13:51,1,-73.98992157,40.75621033,-73.94923401,40.77101517,N,0:19:17
id0082224,1,1/7/2016,10:26,1/7/2016,10:42,1,-73.965271,40.75498581,-74.01381683,40.71354675,N,0:15:54
id3852188,1,1/7/2016,16:20,1/7/2016,16:21,1,-73.9788208,40.74769974,-73.97763062,40.74727249,N,0:00:48
id1092604,2,1/6/2016,19:12,1/6/2016,19:33,1,-74.00743103,40.70495224,-73.98708344,40.74711227,N,0:20:28
id0329362,1,1/5/2016,19:55,1/5/2016,20:13,1,-73.97512817,40.74975967,-73.98634338,40.77887726,N,0:17:22
id2842263,1,1/5/2016,1:48,1/5/2016,2:04,1,-73.95793915,40.72186279,-73.80687714,40.71679688,N,0:16:46
id0904100,1,1/1/2016,16:41,1/1/2016,16:53,3,-73.96522522,40.77486801,-73.99328613,40.75740814,N,0:12:06
id1093203,2,1/5/2016,14:58,1/5/2016,15:29,6,-73.87451172,40.77410889,-74.00406647,40.74211121,N,0:30:58
id0455193,1,1/1/2016,16:47,1/1/2016,17:13,4,-73.99850464,40.71708679,-73.98182678,40.76129532,N,0:25:38
id2784061,1,1/6/2016,6:47,1/6/2016,6:50,1,-73.98549652,40.7448349,-73.97931671,40.75263977,N,0:02:38
id0126513,1,1/6/2016,14:11,1/6/2016,14:26,2,-73.98217009999998,40.7516098,-73.99531555,40.76209641,N,0:14:29
id2769170,2,1/5/2016,10:00,1/5/2016,10:06,1,-73.96186066,40.76525116,-73.97206116,40.76498795,N,0:06:01
id2634920,2,1/5/2016,6:04,1/5/2016,6:07,1,-74.00513458,40.73721313,-73.99544525,40.74792862,N,0:02:53
id1925002,1,1/5/2016,17:33,1/5/2016,18:02,1,-73.97290802,40.78568268,-73.97921753,40.74470139,N,0:29:00
id1495657,2,1/7/2016,19:17,1/7/2016,19:22,5,-73.99217987,40.72511292,-73.98418427,40.73729324,N,0:05:16
id2255999,1,1/2/2016,18:55,1/2/2016,19:03,2,-73.9786377,40.75435257,-73.98871613,40.73723602,N,0:07:31
id0118178,2,1/3/2016,13:33,1/3/2016,13:48,2,-73.98104858,40.75881195,-73.99871826,40.72275162,N,0:15:10
id2216578,1,1/1/2016,15:10,1/1/2016,15:17,2,-73.97805023,40.75748062,-73.98365021,40.74424744,N,0:06:58
id2071174,2,1/5/2016,21:14,1/5/2016,21:17,5,-73.98264313,40.73934174,-73.97380066,40.75170517,N,0:03:36
id1442986,2,1/3/2016,13:05,1/3/2016,13:29,5,-73.97335052,40.79273987,-73.87308502,40.7742691,N,0:24:07
id3928938,2,1/2/2016,21:48,1/2/2016,22:05,1,-73.9931488,40.73346710000001,-73.94877625,40.7716217,N,0:16:40
id3528732,2,1/1/2016,14:26,1/1/2016,14:31,1,-73.96099854,40.76092148,-73.97409821,40.74705887,N,0:04:48
id1293712,1,1/4/2016,17:16,1/4/2016,17:22,1,-73.98184967,40.77068329,-73.97852325,40.77729797,N,0:05:25
id2825944,1,1/5/2016,16:26,1/5/2016,16:59,1,-73.9907074,40.71736526,-73.998703,40.65912247,N,0:33:56
id0473517,1,1/5/2016,1:41,1/5/2016,1:44,1,-73.98207855,40.73121262,-73.98567963,40.72315979,N,0:02:57
id3966402,1,1/6/2016,15:28,1/6/2016,15:38,2,-73.95927429,40.77187347,-73.96614838,40.76551056,N,0:10:02
id1952448,1,1/1/2016,0:34,1/1/2016,0:50,1,-73.95687866,40.77788162,-73.98365021,40.73400879,N,0:16:24
id0571141,1,1/7/2016,12:00,1/7/2016,12:20,1,-73.97424316,40.75381088,-73.99611664,40.72624969,N,0:19:57
id1000535,1,1/5/2016,15:35,1/5/2016,15:45,1,-73.94940948,40.78115082,-73.95888519,40.76379776,N,0:09:54
id2311936,2,1/4/2016,23:36,1/4/2016,23:40,1,-73.99210358,40.73804092,-73.98847198,40.74831009,N,0:03:15
id3395293,2,1/3/2016,2:00,1/3/2016,2:14,2,-73.98774719,40.72117615,-74.00817871,40.73814011,N,0:13:58
id0388732,2,1/5/2016,9:54,1/5/2016,10:05,1,-73.96244049,40.76635361,-73.98356628,40.77540588,N,0:11:17
id0607198,1,1/4/2016,18:51,1/4/2016,19:04,2,-74.00476837,40.75162888,-73.99577332,40.73269653,N,0:12:39
id0481034,1,1/4/2016,6:48,1/4/2016,6:52,1,-73.99414825,40.71994019,-73.99002838,40.72950363,N,0:03:27
id1769396,2,1/7/2016,21:20,1/7/2016,21:27,1,-73.96968079,40.7976799,-73.9802475,40.78374863,N,0:07:03
id1681037,2,1/4/2016,15:45,1/4/2016,16:04,6,-73.99951172,40.72515869,-73.97348785,40.76094055,N,0:18:53
id1774061,1,1/3/2016,13:22,1/3/2016,13:25,1,-73.96585083,40.75447845,-73.97381592,40.74768066,N,0:02:42
id3314517,2,1/1/2016,2:41,1/1/2016,2:57,3,-73.95456696,40.7167511,-73.97867584,40.67913818,N,0:15:52
id2087833,2,1/7/2016,20:32,1/7/2016,20:37,2,-73.98217773,40.77346039,-73.9723053,40.79136658,N,0:05:21
id1911328,2,1/1/2016,12:18,1/1/2016,12:23,1,-73.98181152,40.74052811,-73.97297668,40.75576019,N,0:04:26
id3265064,2,1/6/2016,9:34,1/6/2016,9:48,2,-74.01493073,40.71595764,-73.99723816,40.72536469,N,0:13:25
id3004017,1,1/5/2016,18:24,1/5/2016,18:33,2,-73.95549011,40.77921295,-73.95977020000002,40.7636795,N,0:08:39
id3468182,1,1/7/2016,13:32,1/7/2016,13:48,2,-73.97860718,40.76419067,-73.98734283,40.76522064,N,0:15:46
id2154967,2,1/3/2016,16:24,1/3/2016,16:27,1,-73.99537659,40.72523117,-74.00326538,40.72696304,N,0:02:58
id2786770,1,1/4/2016,18:10,1/4/2016,18:17,1,-73.99959564,40.75477982,-74.00419617,40.75119781,N,0:06:58
id1167583,1,1/4/2016,2:11,1/4/2016,2:18,2,-73.99455261,40.76114273,-73.99067688,40.75075531,N,0:07:12
id0961618,2,1/1/2016,11:12,1/1/2016,11:17,3,-73.95300293,40.77252197,-73.95791626,40.76522827,N,0:04:37
id1783880,2,1/5/2016,14:33,1/5/2016,14:47,5,-73.97170258,40.7950058,-74.00568390000002,40.74570465,N,0:14:11
id1171130,2,1/6/2016,20:31,1/6/2016,20:50,1,-73.99803925,40.72029877,-73.99066925,40.75632858,N,0:19:10
id0725940,1,1/2/2016,18:38,1/2/2016,18:44,1,-73.99754333,40.73652649,-73.99175262,40.74443817,N,0:05:28
id2071333,1,1/1/2016,4:04,1/1/2016,4:32,2,-73.92776489,40.69279099,-74.01163483,40.64409637,N,0:27:35
id1609491,2,1/3/2016,13:49,1/3/2016,13:59,2,-73.9596405,40.76322556,-73.98273468,40.73871613,N,0:09:30
id1060448,1,1/7/2016,21:46,1/7/2016,21:57,1,-73.97080231,40.75865555,-73.98527527,40.72604370000001,N,0:11:08
id0823715,1,1/7/2016,11:39,1/7/2016,11:51,1,-73.95761108,40.78529358,-73.98710632,40.77006531,N,0:12:32
id3746338,2,1/3/2016,10:04,1/3/2016,10:09,2,-74.00402069,40.72539139,-73.98622131,40.73110962,N,0:05:27
id2626700,1,1/1/2016,12:14,1/1/2016,12:23,1,-74.00140381,40.73126221,-73.98097229,40.74464035,N,0:09:17
id1456189,1,1/5/2016,23:11,1/5/2016,23:14,1,-73.98241425,40.76822281,-73.97881317,40.7623558,N,0:03:17
id0410049,2,1/1/2016,0:42,1/1/2016,1:03,1,-73.98858643,40.74515152,-73.97332001,40.78448105,N,0:20:54
id3419960,1,1/3/2016,14:12,1/3/2016,14:18,1,-73.96288299999998,40.81075287,-73.97161865,40.79483795,N,0:05:47
id1109160,2,1/7/2016,22:00,1/7/2016,22:03,1,-73.98734283,40.72478485,-73.97903442,40.72494888,N,0:03:23
id2908765,2,1/1/2016,16:22,1/1/2016,16:27,5,-73.97344208,40.76374435,-73.9752655,40.75217819,N,0:05:09
id3016496,1,1/2/2016,23:08,1/2/2016,23:19,1,-73.98529816,40.76257706,-73.98880005,40.77428055,N,0:10:56
id0337895,2,1/2/2016,11:04,1/2/2016,11:14,1,-74.00591278,40.73604584,-73.97955322,40.75955963,N,0:09:36
id3907920,1,1/1/2016,20:23,1/1/2016,20:38,2,-73.99398041,40.7466507,-73.98920441,40.73020935,N,0:14:53
id3033333,2,1/5/2016,3:33,1/5/2016,3:49,1,-73.95462799,40.76401901,-73.91512299,40.8217392,N,0:16:18
id3688309,1,1/4/2016,17:40,1/4/2016,18:12,1,-74.01599121,40.71121979,-73.91693115,40.87242508,N,0:32:04
id1954597,1,1/5/2016,17:13,1/5/2016,17:14,1,-73.96588135,40.75826645,-73.97003174,40.75304413,N,0:01:11
id3277602,1,1/4/2016,8:02,1/4/2016,8:11,2,-73.971138,40.76205444,-73.9957962,40.73630142,N,0:09:24
id3762085,2,1/6/2016,2:53,1/6/2016,3:19,4,-74.00045013,40.73749924,-73.91509247,40.67242813,N,0:26:17
id3447607,2,1/1/2016,21:11,1/1/2016,21:16,1,-73.96192932,40.77074051,-73.94734955,40.77941895,N,0:04:49
id2446498,1,1/2/2016,17:19,1/2/2016,17:48,3,-73.98692322,40.76129532,-74.00502777,40.7070961,N,0:28:33
id1041398,2,1/6/2016,8:55,1/6/2016,9:15,1,-74.00549316,40.72000122,-73.97901917,40.76241302,N,0:20:21
id2988964,2,1/6/2016,12:27,1/6/2016,12:38,6,-73.99121094,40.7349968,-74.00802612,40.73968887,N,0:10:39
id1467997,1,1/4/2016,14:56,1/4/2016,15:54,1,-73.78204346,40.64487457,-73.98841095,40.75911331,N,0:57:31
id2818810,1,1/6/2016,20:34,1/6/2016,20:45,1,-73.97559357,40.74861145,-73.94853973,40.77811813,N,0:11:11
id1477912,1,1/7/2016,7:01,1/7/2016,7:07,1,-73.98786163,40.75595093,-73.97647858,40.75514984,N,0:05:24
id3397343,1,1/6/2016,7:20,1/6/2016,7:24,1,-73.95589447,40.77973557,-73.95271301,40.79166031,N,0:04:16
id3022285,2,1/4/2016,7:28,1/4/2016,7:35,2,-73.99138641,40.74985886,-73.98265076,40.73974991,N,0:06:52
id3546111,1,1/7/2016,0:08,1/7/2016,0:21,1,-73.97929382,40.75281525,-73.98065948,40.78825378,N,0:12:50
id0032289,1,1/7/2016,19:17,1/7/2016,19:28,1,-74.00177765,40.74657822,-74.00471497,40.7295723,N,0:10:51
id0593078,2,1/4/2016,18:05,1/4/2016,18:11,1,-73.98667908,40.76149368,-73.99783325,40.75124359,N,0:05:25
id3946569,2,1/7/2016,12:45,1/7/2016,12:47,1,-73.99757385,40.74139786,-74.00023651,40.73774338,N,0:01:54
id1268565,2,1/1/2016,12:48,1/1/2016,12:54,1,-73.98452759,40.75915909,-73.99523926,40.75289154,N,0:06:24
id3643300,2,1/6/2016,6:46,1/6/2016,6:58,1,-73.98854065,40.7741394,-73.96955872,40.80015945,N,0:11:16
id0145134,1,1/2/2016,13:48,1/2/2016,14:06,1,-73.9556427,40.77961349,-73.99584198,40.74367142,N,0:18:09
id2488850,2,1/6/2016,10:56,1/6/2016,10:58,1,-73.99333954,40.73609924,-73.99124146,40.73278046,N,0:02:32
id1867766,2,1/3/2016,14:40,1/3/2016,15:09,1,-73.98242950000002,40.76823044,-73.9941864,40.72272873,N,0:28:44
id0297157,2,1/3/2016,3:31,1/3/2016,3:34,2,-73.99143219,40.72697067,-73.98815918,40.72896957,N,0:03:03
id2918932,1,1/2/2016,15:34,1/2/2016,15:50,2,-73.98800659,40.74990082,-73.97741699,40.777771,N,0:15:43
id3864072,1,1/7/2016,18:44,1/7/2016,19:09,2,-73.97786713,40.75108719,-73.98207092,40.77553558,N,0:25:35
id0168257,2,1/1/2016,0:59,1/1/2016,1:22,5,-73.99149323,40.75017548,-73.99463654,40.71954346,N,0:22:54
id3968404,1,1/2/2016,7:09,1/2/2016,7:27,1,-73.97846985,40.76302719,-73.87184906,40.77427292,N,0:18:26
id2431289,2,1/3/2016,8:54,1/3/2016,8:57,2,-73.95758057,40.76858521,-73.95021057,40.77572632,N,0:02:33
id2483049,1,1/7/2016,19:22,1/7/2016,19:30,1,-73.96751404,40.77093124,-73.9667511,40.77145386,N,0:07:12
id1234708,1,1/7/2016,18:23,1/7/2016,18:28,1,-73.97792053,40.763237,-73.97775269,40.77376938,N,0:05:31
id2626466,1,1/7/2016,23:35,1/8/2016,0:07,1,-73.98792267,40.75474548,-73.94469452,40.6491127,N,0:32:15
id3197751,2,1/2/2016,15:05,1/2/2016,15:19,1,-73.98616791,40.74092865,-74.00434113,40.7218399,N,0:14:49
id3091961,1,1/3/2016,23:10,1/3/2016,23:14,1,-73.99711609,40.74721527,-73.97846985,40.75268936,N,0:04:01
id3971248,2,1/6/2016,16:27,1/6/2016,16:40,3,-73.98098755,40.77410889,-73.95925140000001,40.76913834,N,0:12:50
id0240019,1,1/4/2016,18:29,1/4/2016,18:35,1,-73.99141693,40.6853714,-74.00070953,40.68757629,N,0:05:32
id3650113,2,1/4/2016,16:37,1/4/2016,16:50,1,-73.97380829,40.76025391,-73.96712494,40.79274368,N,0:13:29
id3030238,1,1/4/2016,11:50,1/4/2016,11:57,1,-73.99581146,40.73286819,-73.99251556,40.74925995,N,0:07:15
id0372390,1,1/7/2016,23:23,1/7/2016,23:39,1,-73.9875946,40.73265076,-73.98191071,40.76442337,N,0:16:29
id3512831,1,1/5/2016,13:08,1/5/2016,13:18,1,-73.96316528,40.7573967,-73.95411682,40.76398087,N,0:10:33
id1754483,2,1/3/2016,15:10,1/3/2016,15:36,4,-73.94897461,40.77736664,-73.99158478,40.74999237,N,0:25:47
id1277236,2,1/5/2016,18:51,1/5/2016,19:24,4,-73.98348236,40.75917053,-73.95776367,40.71879959,N,0:33:04
id3752553,2,1/2/2016,18:15,1/2/2016,18:26,1,-73.97237396,40.7866478,-73.94461823,40.77822876,N,0:10:36
id3469535,1,1/1/2016,1:50,1/1/2016,2:01,1,-73.96331787,40.7659874,-73.97384644,40.79445648,N,0:11:30
id3973418,2,1/6/2016,15:12,1/6/2016,15:26,1,-73.97602081,40.76347351,-73.96117401,40.77470779,N,0:14:14
id0283471,1,1/1/2016,14:05,1/1/2016,14:12,1,-73.96523285,40.75507355,-73.95227051,40.78103256,N,0:06:50
id0738337,1,1/6/2016,8:32,1/6/2016,8:50,1,-73.95278168,40.78318787,-73.969841,40.76066589,N,0:18:06
id3471707,1,1/6/2016,18:43,1/6/2016,18:53,2,-73.95783997,40.77462769,-73.97000122,40.76402664,N,0:10:04
id3673219,1,1/3/2016,1:54,1/3/2016,2:12,1,-73.98912811,40.71867371,-73.99803925,40.76404953,N,0:17:30
id1019488,2,1/1/2016,0:08,1/1/2016,0:22,1,-73.97612,40.74908066,-74.00744629,40.72645187,N,0:14:07
id0214205,1,1/5/2016,9:34,1/5/2016,9:42,1,-73.98233795,40.73174667,-73.98842621,40.74105835,N,0:08:31
id1349085,2,1/1/2016,0:33,1/1/2016,0:50,1,-74.00798035,40.74020767,-73.98892212,40.76508331,N,0:16:32
id1116868,1,1/7/2016,17:17,1/7/2016,17:34,1,-73.95496368,40.77352524,-73.9807663,40.77087784,N,0:17:19
id0627207,1,1/4/2016,7:13,1/4/2016,7:18,1,-73.98034668,40.74855042,-73.98441315,40.75533295,N,0:04:51
id1826910,2,1/3/2016,23:10,1/3/2016,23:16,2,-73.97411346,40.75067139,-73.95287323,40.77856064,N,0:06:21
id3767802,1,1/4/2016,15:55,1/4/2016,15:57,1,-73.97402191,40.74724197,-73.97686768,40.74340057,N,0:01:52
id2822231,2,1/7/2016,14:47,1/7/2016,15:00,1,-73.97493744,40.75025558,-73.97759247,40.76643372,N,0:12:55
id3238581,2,1/3/2016,6:48,1/3/2016,6:50,1,-73.95574188,40.77929688,-73.95554352,40.77347565,N,0:01:45
id0741392,1,1/7/2016,8:43,1/7/2016,9:11,1,-73.97827148,40.78324509,-73.97187805,40.75964355,N,0:28:35
id2095859,1,1/5/2016,18:45,1/5/2016,18:51,1,-73.97726440000002,40.75182343,-73.98623657,40.75526428,N,0:05:42
id1196204,2,1/3/2016,14:46,1/3/2016,14:52,1,-73.97370148,40.74776077,-73.99045563,40.72488022,N,0:06:36
id3156633,2,1/2/2016,16:11,1/2/2016,16:22,1,-73.94556427,40.77819824,-73.97753143,40.75388336,N,0:10:12
id2457685,1,1/1/2016,0:57,1/1/2016,1:27,1,-73.94827271,40.78255463,-73.92914581,40.70266724,N,0:30:26
id0903245,2,1/4/2016,18:02,1/4/2016,18:09,1,-73.96713257,40.77248383,-73.98445892,40.77500534,N,0:07:38
id0542659,1,1/5/2016,20:31,1/5/2016,20:48,1,-73.99714661,40.72504044,-74.01395416,40.6765976,N,0:17:11
id1765619,2,1/6/2016,17:10,1/6/2016,17:19,3,-73.98282623,40.77186584,-73.98025513,40.78378677,N,0:08:53
id1480564,1,1/3/2016,11:33,1/3/2016,11:52,1,-73.97901154,40.71967697,-73.96826172,40.76559448,N,0:18:53
id2530214,2,1/2/2016,19:28,1/2/2016,19:31,3,-73.96196747,40.77925873,-73.95561981,40.78528976,N,0:03:07
id1571425,1,1/7/2016,9:54,1/7/2016,10:11,1,-73.98290253,40.73076629999999,-73.99409485,40.74532318,N,0:16:30
id3560612,1,1/5/2016,0:41,1/5/2016,0:48,2,-73.96382141,40.80281448,-73.95178986,40.78289413,N,0:06:48
id3649965,2,1/5/2016,15:08,1/5/2016,15:21,5,-73.98709106,40.75060272,-73.96450043,40.77320862,N,0:12:46
id2464576,1,1/4/2016,6:18,1/4/2016,6:23,1,-73.98949432,40.75650024,-73.97746277,40.76011276,N,0:04:15
id1109311,1,1/6/2016,2:43,1/6/2016,2:51,2,-74.00245667,40.71474075,-73.99000549,40.74701691,N,0:07:38
id3419702,2,1/3/2016,2:21,1/3/2016,2:43,1,-73.98707581,40.76043701,-73.88182068,40.74382019,N,0:21:56
id1765298,2,1/2/2016,17:44,1/2/2016,17:48,2,-73.96684265,40.76398849,-73.96826172,40.75923157,N,0:03:20
id3943617,2,1/7/2016,20:41,1/7/2016,20:53,1,-73.97886658,40.76292038,-73.99344635,40.73644638,N,0:12:18
id2446371,1,1/4/2016,4:35,1/4/2016,4:54,2,-73.98402405,40.76506042,-73.87225342,40.77430725,N,0:18:12
id0279538,1,1/4/2016,18:08,1/4/2016,18:25,1,-73.96251678,40.76715088,-73.96672058,40.80343628,N,0:16:42
id0170737,1,1/4/2016,20:40,1/4/2016,20:53,1,-73.99772644,40.72916031,-73.94847107,40.71838379,N,0:12:59
id2338412,2,1/6/2016,21:44,1/6/2016,22:06,2,-74.00208282,40.75072098,-73.91993713,40.76591873,N,0:21:53
id1753881,2,1/2/2016,15:01,1/2/2016,15:14,5,-74.00411987,40.74214172,-73.9786377,40.75371933,N,0:12:51
id3142379,2,1/1/2016,13:56,1/1/2016,14:02,1,-73.9516983,40.82495499,-73.94268036,40.83698654,N,0:05:53
id1159511,1,1/5/2016,8:41,1/5/2016,8:52,1,-73.98040771,40.73859787,-73.9984436,40.7322464,N,0:11:04
id2643491,2,1/6/2016,14:36,1/6/2016,14:47,1,-73.98178101,40.76839828,-73.96640015,40.79003906,N,0:11:02
id0536221,2,1/3/2016,9:39,1/3/2016,9:43,1,-74.00390625,40.74308014,-73.99807739,40.73785019,N,0:03:58
id2050280,1,1/1/2016,17:50,1/1/2016,18:04,4,-74.00785828,40.74047852,-73.98464966,40.72038269,N,0:14:15
id2090983,2,1/2/2016,8:16,1/2/2016,8:24,1,-73.97427368,40.74240875,-73.98097992,40.76771927,N,0:08:31
id0153779,2,1/2/2016,11:50,1/2/2016,11:56,1,-73.96147919,40.77431488,-73.97465515,40.75819397,N,0:06:15
id3167590,2,1/7/2016,23:05,1/7/2016,23:16,2,-73.98789215,40.76000977,-73.96627045,40.79339981,N,0:10:32
id2858240,1,1/4/2016,17:52,1/4/2016,17:56,1,-73.95275879,40.78656006,-73.96006012,40.77651978,N,0:03:41
id2222505,1,1/4/2016,12:54,1/4/2016,13:05,1,-73.98903656,40.74877167,-73.96970367,40.75793076,N,0:11:12
